1_Sample metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASM sample ID,sample ID with alternative,sample_sex,Population,Super population,Father or son ID (if inlcuded in Y project),assembly_type,Dataset,hg_short,haplogroup_ISOGG_v15.73,haplogroup_yHaplo_term_marker,Y_known_SVs_Teitz-2018,study_generation,Comment,AZFc_region_structure,Comment2,Inversions/rearrangements,hifiCov,ontCov_total,ontCov_over100Kb,hicCov,Arang_comments,T2T?,Tel,Gaps,NumUnplaced,TelSeqSum,TotalBPs
200084,200084-G4,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a1c2b2b1a,Z326,NA,2024,,hg38-like,,,48,,30,,unplaced = P5,,pq,"2 gaps, 1 in PAR1 1 in P5",1,,54202477
200085,200085-G4,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a1c2b2b1a,Z326,NA,2024,,hg38-like,,,43,,30,,unplaced = P5 and Yq12,,q (pTel missing),"2 gaps, 1 in PAR1 1 in P5, 1 silent gap in Yq12",2,,54402704
HG01261,HG01261,male,CLM,AMR,,vrk-hic,HPRC,R1b,R1b1a1b1a1a2a1a1a1a,Z214,NA,2025,,hg38-like,r3/r4 mis-ASM?,,68.757,139.483,23.548,214.55,,,pq,3,2,"15,201","52,239,270"
HG01934,HG01934,male,PEL,AMR,,vrk-hic,HPRC,R1b,R1b1a1b1a1a2a1a1a1a1,M153,NA,2025,,hg38-like,,,78.312,184.893,42.752,161.11,,T2T contig,pq,0,0,"29,887","52,031,904"
NA20752,NA20752,male,TSI,EUR,,vrk-hic,HPRC,R1b,R1b1a1b1a1a2a1a2,DF17,ref,2025,,hg38-like,,,73.755,119.217,26.246,205.83,,T2T_scaff,pq,1,0,"20,816","52,219,872"
HG00126,HG00126,male,GBR,EUR,,vrk-hic,HPRC,R1b,R1b1a1b1a1a2a1b1a1,M167,ref,2025,,hg38-like,,,63.758,189.611,51.531,70.35,,T2T contig,pq,0,0,"12,398","52,517,795"
HG00731,HG00731,male,PUR,AMR,,?,HGSVC3,R1b,R1b1a1b1a1a2a5,Z225,ref,2024,,hg38-like,,,73.632,161.621,53.646,52.24,manual,T2T contig,2,0,0,,"54,670,947"
HG01243,HG01243,male,PUR,AMR,,vrk-hic,HPRC,R1b,R1b1a1b1a1a2a5,DF27,NA,2023,,hg38-like,mis-ASM?,,62.644,82.429,6.276,29.91,,,pq,5,8,"18,882","43,015,197"
HG01943,HG01943,male,PEL,AMR,,vrk-hic,HPRC,R1b,R1b1a1b1a1a2b,U152,NA,2025,,hg38-like,,,66.99,133.081,23.505,124.77,,T2T contig,pq,0,0,"23,383","52,474,664"
HG01358,HG01358,male,CLM,AMR,,vrk-thc,HPRC,R1b,R1b1a1b1a1a2b1a1,L20,NA,2023,,hg38-like,,,60.016,111.765,24.87,63.03,,,q,2,2,"6,148","52,392,321"
NA19650,NA19650,male,MXL,AMR,,?,HGSVC3,R1b,R1b1a1b1a1a2b1a1,L20,NA,2024,,hg38-like,,,81.656,152.918,48.601,81.93,thic,T2T contig,2,0,0,,"52,099,742"
NA20509,NA20509,male,TSI,EUR,,?,HGSVC3,R1b,R1b1a1b1a1a2b1a1,Z145,NA,2024,,hg38-like,,,71.543,144.68,46.055,39.48,manual,8 gaps but 1 unplaced from Yqh. 1 gap in PAR1 and the rest in Yqh,2,8,5,,"56,239,582"
HG00738,HG00738,male,PUR,AMR,,vrk-thc,HPRC,R1b,R1b1a1b1a1a2b1c2b1a2,S8172,NA,2025,,hg38-like,r3/r4 mis-ASM,,68.562,175.003,33.412,93.29,,,pq,1,1,"25,889","52,337,378"
HG00096,HG00096,male,GBR,EUR,,?,HGSVC3,R1b,R1b1a1b1a1a2c1a1f1a2,S691,ref,2024,,hg38-like,,,70.184,136.435,45.545,29.88,manual,4 gaps in Yqh,2,4,8,,"52,898,475"
HG01505,HG01505,male,IBS,EUR,,?,HGSVC3,R1b,R1b1a1b1a1a2c1a4b2d1,DF73,NA,2024,,hg38-like,,,64.614,144.782,50.373,32.17,thic,T2T contig,2,0,0,,"52,372,443"
NA12877,NA12877-G2,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a2e2,Z302,NA,2024,,hg38-like,,,98,,74,,"Nothing to do, no nodes / edge to connect",T2T_scaff,pq,1 in PAR1,0,,51503702
NA12882,NA12882-G3,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a2e2,Z302,NA,2024,,hg38-like,,,44,,28,,"Yqh fixed, now T2T",T2T contig,p (qTel missing),"0, silent gap in Yqh",0,,51581175
NA12883,NA12883-G3,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a2e2,Z302,NA,2024,Restricted data access,hg38-like,,,44,,28,,Consensus merged based on a spanning ONT read. Now T2T,T2T contig,pq,"1 in Yqh, now 0",0,,51700115
NA12884,NA12884-G3,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a2e2,Z302,NA,2024,Restricted data access,hg38-like,,,58,,32,,"Breaking at gap, flipping Y fixes scaffolding issue, still missing both Telomeres. 1 Contig",,0 (both missing),"1 gap fusing X and Y, now 0",0,,50503432
NA12886,NA12886-G3,male,CEU,EUR,,new asm from Jiadong; with Arang,CEPH_pedigree,R1b,R1b1a1b1a1a2e2,Z302,NA,2024,,hg38-like,,,62,,48,,Trio mode resolved Y. Now T2T,T2T contig,pq,"1 in PAR1, now 0",0,,51620950
HG03017,HG03017,male,PJL,SAS,,vrk-hic,HPRC,R2,R2,L266,NA,2025,,hg38-like,,IR3_inv,61.631,188.614,46.158,111.96,,T2T contig,pq,0,0,"13,628","57,679,920"
HG03732,HG03732,male,ITU,SAS,,?,HGSVC3,R2,R2,L266,NA,2024,,hg38-like,,IR3_inv,58.514,144.292,47.585,29.87,thic,T2T contig,2,0,0,,"52,035,213"
HG04160,HG04160,male,BEB,SAS,,vrk-hic,HPRC,R2,R2,L266,NA,2025,,hg38-like,,IR3_inv,58.55,150.412,23.016,48.91,,,pq,1,2,"16,939","50,818,595"
HG01192,HG01192,male,PUR,AMR,,vrk-hic,HPRC,T1,T1a1a1b2b2b1a1a2,CTS6280,NA,2025,,hg38-like,,IR3_inv,68.964,125.722,32.129,219.1,,,pq,6,6,"15,160","44,249,239"
HG01530,HG01530,male,IBS,EUR,,vrk-hic,HPRC,T1,T1a2b1a1,CTS8862,P4-arm-dupl,2025,,T2T-like,Weird DAZ,IR3_inv,60.483,124.342,28.346,165.42,,,pq,1,1,"12,815","48,089,256"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DO NOT INLCUDE:,,,,,,,,,,,,,,,,,,,,,,,,,,
,200087-G4,male,,,,new asm from Jiadong; with Arang,CEPH_pedigree,R1,R1b1a1b1a1a1c2b2b1a,Z326,NA,2024,Y in 11 pieces - do not inluce,,,,,,,,,,,,,,
,NA12891-G1,male,,,,?,CEPH_pedigree,I1,I1a3a,S2078,NA,2024,verkko v1.3.1 published assembly - include?,,,,,,,,,,,,,,
,NA12889-G1,male,,,,?,CEPH_pedigree,R1,R1b1a1b1a1a2e2,Z302,NA,2024,verkko v1.3.1 published assembly - include?,hg38-like,,,,,,,,,,,,,
,200101-G4,male,,,,mid-August?,CEPH_pedigree,R1,R1b1a1b1a1a2e2,Z302,NA,2024,,,,,,,,,,,,,,,
,200102-G4,male,,,,mid-August?,CEPH_pedigree,R1,R1b1a1b1a1a2e2,Z302,NA,2024,,,,,,,,,,,,,,,
,200105-G4,male,,,,mid-August?,CEPH_pedigree,R1,R1b1a1b1a1a2e2,Z302,NA,2024,Restricted data access - do we include??,,,,,,,,,,,,,,
HG03456,HG03456,male,MSL,AFR,,?,HGSVC3,E1,E1b1a1a1a1c1b,M263.2,NA,2024,,hg38-like,,,79.997,163.479,54.782,40.58,manual,T2T contig x2,2,0,0,,"52,986,293"
