Sample	Seq	Sample_Seq	Resolution	PathName	Path	sample	idx	categ	ours_idx
HG00658	pat-0000604	HG00658_pat-0000604	UNPLACED	pat_unused_utig4-1277	utig4-1277+	HG00658	128	match	1808
HG00658	pat-0000605	HG00658_pat-0000605	UNPLACED	pat_unused_utig4-1278	utig4-1278+	HG00658	129	match	1541
HG00658	pat-0000606	HG00658_pat-0000606	UNPLACED	pat_unused_utig4-1279	utig4-1279+	HG00658	130	match	6
HG00658	pat-0000607	HG00658_pat-0000607	UNPLACED	pat_unused_utig4-1280	utig4-1280+	HG00658	131	match	1399
HG00658	pat-0000608	HG00658_pat-0000608	UNPLACED	pat_unused_utig4-1284	utig4-1284+	HG00658	132	match	553
HG00658	pat-0000644	HG00658_pat-0000644	UNPLACED	pat_unused_utig4-1438	utig4-1438+	HG00658	133	match	631
HG00658	pat-0000645	HG00658_pat-0000645	UNPLACED	pat_unused_utig4-1439	utig4-1439+	HG00658	134	match	199
HG00658	pat-0000646	HG00658_pat-0000646	UNPLACED	pat_unused_utig4-1440	utig4-1440+	HG00658	135	match	1489
HG00658	pat-0000647	HG00658_pat-0000647	UNPLACED	pat_unused_utig4-1441	utig4-1441+	HG00658	136	match	581
HG00658	pat-0000664	HG00658_pat-0000664	UNPLACED	pat_unused_utig4-1688	utig4-1688+	HG00658	137	match	647
HG00658	pat-0000668	HG00658_pat-0000668	UNPLACED	pat_unused_utig4-1695	utig4-1695+	HG00658	138	match	1549
HG00658	pat-0000669	HG00658_pat-0000669	UNPLACED	pat_unused_utig4-1696	utig4-1696+	HG00658	139	match	1528
HG00658	pat-0000670	HG00658_pat-0000670	UNPLACED	pat_unused_utig4-1710	utig4-1710+	HG00658	140	match	1531
HG00658	pat-0000677	HG00658_pat-0000677	UNPLACED	pat_unused_utig4-1743	utig4-1743+	HG00658	141	match	2041
HG00658	pat-0000678	HG00658_pat-0000678	UNPLACED	pat_unused_utig4-1744	utig4-1744+	HG00658	142	match	1826
HG00658	pat-0000679	HG00658_pat-0000679	UNPLACED	pat_unused_utig4-1746	utig4-1746+	HG00658	143	match	646
HG00658	pat-0000680	HG00658_pat-0000680	UNPLACED	pat_unused_utig4-1747	utig4-1747+	HG00658	144	match	713
HG00658	pat-0000681	HG00658_pat-0000681	UNPLACED	pat_unused_utig4-1748	utig4-1748+	HG00658	145	match	974
HG00658	pat-0000702	HG00658_pat-0000702	UNPLACED	pat_unused_utig4-1841	utig4-1841+	HG00658	146	match	150
HG00658	pat-0000703	HG00658_pat-0000703	UNPLACED	pat_unused_utig4-1842	utig4-1842+	HG00658	147	match	749
HG00658	pat-0000704	HG00658_pat-0000704	UNPLACED	pat_unused_utig4-1843	utig4-1843+	HG00658	148	match	283
HG00658	pat-0000705	HG00658_pat-0000705	UNPLACED	pat_unused_utig4-1844	utig4-1844+	HG00658	149	match	821
HG00658	pat-0000706	HG00658_pat-0000706	UNPLACED	pat_unused_utig4-1845	utig4-1845+	HG00658	150	match	1091
HG00658	pat-0000726	HG00658_pat-0000726	UNPLACED	pat_unused_utig4-1906	utig4-1906+	HG00658	151	match	690
HG00658	pat-0000727	HG00658_pat-0000727	UNPLACED	pat_unused_utig4-1908	utig4-1908+	HG00658	152	match	2930
HG00658	pat-0000765	HG00658_pat-0000765	UNPLACED	pat_unused_utig4-2022	utig4-2022+	HG00658	153	match	1213
HG00658	pat-0000808	HG00658_pat-0000808	UNPLACED	pat_unused_utig4-62	utig4-62+	HG00658	154	match	561
HG00658	pat-0000813	HG00658_pat-0000813	UNPLACED	pat_unused_utig4-699	utig4-699+	HG00658	155	match	733
HG00658	pat-0000814	HG00658_pat-0000814	UNPLACED	pat_unused_utig4-700	utig4-700+	HG00658	156	match	12
HG00658	pat-0000815	HG00658_pat-0000815	UNPLACED	pat_unused_utig4-701	utig4-701+	HG00658	157	match	1811
HG00658	pat-0000816	HG00658_pat-0000816	UNPLACED	pat_unused_utig4-702	utig4-702+	HG00658	158	match	3271
HG00658	pat-0000817	HG00658_pat-0000817	UNPLACED	pat_unused_utig4-703	utig4-703+	HG00658	159	match	1216
HG00658	pat-0000820	HG00658_pat-0000820	UNPLACED	pat_unused_utig4-772	utig4-772+	HG00658	160	match	260
HG00658	pat-0000821	HG00658_pat-0000821	UNPLACED	pat_unused_utig4-773	utig4-773+	HG00658	161	match	776
HG00658	pat-0000822	HG00658_pat-0000822	UNPLACED	pat_unused_utig4-813	utig4-813+	HG00658	162	match	186
HG00658	pat-0000823	HG00658_pat-0000823	UNPLACED	pat_unused_utig4-814	utig4-814+	HG00658	163	match	2365
HG00658	pat-0000824	HG00658_pat-0000824	UNPLACED	pat_unused_utig4-815	utig4-815+	HG00658	164	match	1181
HG00658	pat-0000825	HG00658_pat-0000825	UNPLACED	pat_unused_utig4-816	utig4-816+	HG00658	165	match	1406
HG00658	pat-0000826	HG00658_pat-0000826	UNPLACED	pat_unused_utig4-817	utig4-817+	HG00658	166	match	2707
HG00658	pat-0000827	HG00658_pat-0000827	UNPLACED	pat_unused_utig4-818	utig4-818+	HG00658	167	match	2028
HG00658	pat-0000828	HG00658_pat-0000828	UNPLACED	pat_unused_utig4-819	utig4-819+	HG00658	168	match	984
HG00673	haplotype1-0000004	HG00673_haplotype1-0000004	UNPLACED	haplotype1_from_utig4-1440	utig4-1440+	HG00673	169	match	3918
HG00673	haplotype1-0000006	HG00673_haplotype1-0000006	UNPLACED	haplotype1_from_utig4-1504	utig4-1504+	HG00673	170	match	2206
HG00673	haplotype1-0000007	HG00673_haplotype1-0000007	UNPLACED	haplotype1_from_utig4-1505	utig4-1505+,utig4-2969-,utig4-1984-,utig4-1982+,[N165516N:ambig_bubble],utig4-2838-	HG00673	171	match	491
HG00673	haplotype1-0000012	HG00673_haplotype1-0000012	SCAFFOLD	haplotype1_from_utig4-2015	utig4-1500-,utig4-1501+,utig4-2014-,utig4-383-,utig4-381+,[N5000N:ambig_path],utig4-2015+	HG00673	172	match	3846
HG00673	haplotype1-0000037	HG00673_haplotype1-0000037	UNPLACED	haplotype1_unused_utig4-1681	utig4-1681+	HG00673	173	match	2274
HG00673	haplotype1-0000047	HG00673_haplotype1-0000047	UNPLACED	haplotype1_unused_utig4-1972	utig4-1972+	HG00673	174	match	520
HG00673	haplotype2-0000096	HG00673_haplotype2-0000096	SCAFFOLD	haplotype2_from_utig4-1439	utig4-1439+	HG00673	175	match	3579
HG00673	haplotype2-0000109	HG00673_haplotype2-0000109	UNPLACED	haplotype2_from_utig4-382	utig4-382+,utig4-424+,utig4-2014+	HG00673	176	match	722
HG00673	haplotype2-0000139	HG00673_haplotype2-0000139	UNPLACED	haplotype2_unused_utig4-1971	utig4-1971+	HG00673	177	match	1586
HG00673	unassigned-0000176	HG00673_unassigned-0000176	UNPLACED	na_unused_utig4-1441	utig4-1441+	HG00673	178	match	2042
HG00673	unassigned-0000195	HG00673_unassigned-0000195	UNPLACED	na_unused_utig4-1502	utig4-1502+	HG00673	179	match	1455
HG00673	unassigned-0000196	HG00673_unassigned-0000196	UNPLACED	na_unused_utig4-1503	utig4-1503+	HG00673	180	match	1535
HG00673	unassigned-0000197	HG00673_unassigned-0000197	UNPLACED	na_unused_utig4-1506	utig4-1506+	HG00673	181	match	2278
HG00673	unassigned-0000261	HG00673_unassigned-0000261	UNPLACED	na_unused_utig4-1682	utig4-1682+	HG00673	182	match	2155
HG00673	unassigned-0000262	HG00673_unassigned-0000262	UNPLACED	na_unused_utig4-1683	utig4-1683+	HG00673	183	match	3520
HG00673	unassigned-0000263	HG00673_unassigned-0000263	UNPLACED	na_unused_utig4-1684	utig4-1684+	HG00673	184	match	2948
HG00673	unassigned-0000264	HG00673_unassigned-0000264	UNPLACED	na_unused_utig4-1685	utig4-1685+	HG00673	185	match	416
HG00673	unassigned-0000265	HG00673_unassigned-0000265	UNPLACED	na_unused_utig4-1687	utig4-1687+	HG00673	186	match	447
HG00673	unassigned-0000266	HG00673_unassigned-0000266	UNPLACED	na_unused_utig4-1688	utig4-1688+	HG00673	187	match	128
HG00673	unassigned-0000267	HG00673_unassigned-0000267	UNPLACED	na_unused_utig4-1689	utig4-1689+	HG00673	188	match	2958
HG00673	unassigned-0000268	HG00673_unassigned-0000268	UNPLACED	na_unused_utig4-1690	utig4-1690+	HG00673	189	match	1175
HG00673	unassigned-0000270	HG00673_unassigned-0000270	UNPLACED	na_unused_utig4-1694	utig4-1694+	HG00673	190	match	503
HG00673	unassigned-0000271	HG00673_unassigned-0000271	UNPLACED	na_unused_utig4-1695	utig4-1695+	HG00673	191	match	2586
HG00673	unassigned-0000272	HG00673_unassigned-0000272	UNPLACED	na_unused_utig4-1696	utig4-1696+	HG00673	192	match	2319
HG00673	unassigned-0000273	HG00673_unassigned-0000273	UNPLACED	na_unused_utig4-1697	utig4-1697+	HG00673	193	match	282
HG00673	unassigned-0000274	HG00673_unassigned-0000274	UNPLACED	na_unused_utig4-1698	utig4-1698+	HG00673	194	match	1364
HG00673	unassigned-0000371	HG00673_unassigned-0000371	UNPLACED	na_unused_utig4-1853	utig4-1853+	HG00673	195	match	1962
HG00673	unassigned-0000372	HG00673_unassigned-0000372	UNPLACED	na_unused_utig4-1854	utig4-1854+	HG00673	196	match	1595
HG00673	unassigned-0000373	HG00673_unassigned-0000373	UNPLACED	na_unused_utig4-1855	utig4-1855+	HG00673	197	match	2658
HG00673	unassigned-0000374	HG00673_unassigned-0000374	UNPLACED	na_unused_utig4-1856	utig4-1856+	HG00673	198	match	29
HG00673	unassigned-0000379	HG00673_unassigned-0000379	UNPLACED_Cmpnt	na_unused_utig4-1882	utig4-1882+	HG00673	199	no-match	-1
HG00673	unassigned-0000395	HG00673_unassigned-0000395	UNPLACED	na_unused_utig4-1970	utig4-1970+	HG00673	200	match	1408
HG00673	unassigned-0000397	HG00673_unassigned-0000397	UNPLACED	na_unused_utig4-1983	utig4-1983+	HG00673	201	match	2436
HG00673	unassigned-0000398	HG00673_unassigned-0000398	UNPLACED	na_unused_utig4-1985	utig4-1985+	HG00673	202	match	3249
HG00673	unassigned-0000399	HG00673_unassigned-0000399	UNPLACED	na_unused_utig4-1986	utig4-1986+	HG00673	203	match	537
HG00673	unassigned-0000524	HG00673_unassigned-0000524	UNPLACED	na_unused_utig4-2272	utig4-2272+	HG00673	204	match	359
HG00673	unassigned-0000541	HG00673_unassigned-0000541	UNPLACED	na_unused_utig4-2387	utig4-2387+	HG00673	205	match	865
HG00673	unassigned-0000542	HG00673_unassigned-0000542	UNPLACED	na_unused_utig4-2388	utig4-2388+	HG00673	206	match	2928
HG00673	unassigned-0000641	HG00673_unassigned-0000641	UNPLACED	na_unused_utig4-2832	utig4-2832+	HG00673	207	match	1821
HG00673	unassigned-0000685	HG00673_unassigned-0000685	UNPLACED	na_unused_utig4-2909	utig4-2909+	HG00673	208	match	2794
HG00673	unassigned-0000730	HG00673_unassigned-0000730	UNPLACED	na_unused_utig4-560	utig4-560+	HG00673	209	match	2942
HG00673	unassigned-0000731	HG00673_unassigned-0000731	UNPLACED	na_unused_utig4-561	utig4-561+	HG00673	210	match	478
HG00673	unassigned-0000732	HG00673_unassigned-0000732	UNPLACED	na_unused_utig4-562	utig4-562+	HG00673	211	match	2852
HG00673	unassigned-0000733	HG00673_unassigned-0000733	UNPLACED	na_unused_utig4-563	utig4-563+	HG00673	212	match	3137
HG00673	unassigned-0000734	HG00673_unassigned-0000734	UNPLACED	na_unused_utig4-564	utig4-564+	HG00673	213	match	3663
HG00706	haplotype1-0000020	HG00706_haplotype1-0000020	SCAFFOLD	haplotype1_from_utig4-2897	utig4-3278-,[N100000N:scaffold],utig4-3209+,utig4-3212+,utig4-2896-,utig4-2895+,[N5000N:ambig_path],utig4-2897+,[N100000N:scaffold],utig4-3161+	HG00706	214	match	719
HG00706	haplotype2-0000074	HG00706_haplotype2-0000074	UNPLACED	haplotype2_from_utig4-2358	utig4-2358+	HG00706	215	match	1798
HG00706	haplotype2-0000075	HG00706_haplotype2-0000075	UNPLACED	haplotype2_from_utig4-2359	utig4-2354+,utig4-2359+,utig4-3305-,utig4-3304+,[N182972N:ambig_bubble],utig4-1552+,utig4-2512-,[N34116N:ambig_bubble],utig4-3156-	HG00706	216	match	2941
HG00706	haplotype2-0000076	HG00706_haplotype2-0000076	UNPLACED	haplotype2_from_utig4-2503	utig4-966+,utig4-2501-,[N5000N:ambig_path],utig4-2503+,utig4-2898+,[N64005N:scaffold],utig4-3311+	HG00706	217	no-match	-1
HG00706	haplotype2-0000090	HG00706_haplotype2-0000090	UNPLACED	haplotype2_unused_utig4-1553	utig4-1553+	HG00706	218	match	3851
HG00706	haplotype2-0000091	HG00706_haplotype2-0000091	UNPLACED	haplotype2_unused_utig4-1554	utig4-1554+	HG00706	219	match	2722
HG00706	haplotype2-0000111	HG00706_haplotype2-0000111	UNPLACED	haplotype2_unused_utig4-2360	utig4-2360+	HG00706	220	match	379
HG00706	haplotype2-0000112	HG00706_haplotype2-0000112	UNPLACED	haplotype2_unused_utig4-2361	utig4-2361+	HG00706	221	match	1701
HG00706	haplotype2-0000122	HG00706_haplotype2-0000122	UNPLACED	haplotype2_unused_utig4-2899	utig4-2899+	HG00706	222	match	1354
HG00706	haplotype2-0000124	HG00706_haplotype2-0000124	UNPLACED	haplotype2_unused_utig4-3159	utig4-3159+	HG00706	223	match	531
HG00706	haplotype2-0000125	HG00706_haplotype2-0000125	UNPLACED	haplotype2_unused_utig4-3160	utig4-3160+	HG00706	224	match	358
HG00706	unassigned-0000388	HG00706_unassigned-0000388	UNPLACED_Cmpnt	na_unused_utig4-2111	utig4-2111+	HG00706	225	no-match	-1
HG00706	unassigned-0000560	HG00706_unassigned-0000560	UNPLACED	na_unused_utig4-2355	utig4-2355+	HG00706	226	match	3483
HG00706	unassigned-0000561	HG00706_unassigned-0000561	UNPLACED	na_unused_utig4-2356	utig4-2356+	HG00706	227	match	3226
HG00706	unassigned-0000562	HG00706_unassigned-0000562	UNPLACED	na_unused_utig4-2357	utig4-2357+	HG00706	228	match	3627
HG00706	unassigned-0000567	HG00706_unassigned-0000567	UNPLACED	na_unused_utig4-2369	utig4-2369+	HG00706	229	match	1779
HG00706	unassigned-0000568	HG00706_unassigned-0000568	UNPLACED	na_unused_utig4-2370	utig4-2370+	HG00706	230	match	989
HG00706	unassigned-0000569	HG00706_unassigned-0000569	UNPLACED_Cmpnt	na_unused_utig4-2371	utig4-2371+	HG00706	231	no-match	-1
HG00706	unassigned-0000615	HG00706_unassigned-0000615	UNPLACED	na_unused_utig4-2437	utig4-2437+	HG00706	232	match	3005
HG00706	unassigned-0000616	HG00706_unassigned-0000616	UNPLACED	na_unused_utig4-2438	utig4-2438+	HG00706	233	match	2301
HG00706	unassigned-0000617	HG00706_unassigned-0000617	UNPLACED	na_unused_utig4-2439	utig4-2439+	HG00706	234	match	2154
HG00706	unassigned-0000618	HG00706_unassigned-0000618	UNPLACED	na_unused_utig4-2440	utig4-2440+	HG00706	235	match	1245
HG00706	unassigned-0000619	HG00706_unassigned-0000619	UNPLACED	na_unused_utig4-2441	utig4-2441+	HG00706	236	match	2649
HG00706	unassigned-0000655	HG00706_unassigned-0000655	UNPLACED	na_unused_utig4-2513	utig4-2513+	HG00706	237	match	200
HG00706	unassigned-0000656	HG00706_unassigned-0000656	UNPLACED	na_unused_utig4-2514	utig4-2514+	HG00706	238	match	1248
HG00706	unassigned-0000657	HG00706_unassigned-0000657	UNPLACED	na_unused_utig4-2515	utig4-2515+	HG00706	239	match	2853
HG00706	unassigned-0000930	HG00706_unassigned-0000930	UNPLACED	na_unused_utig4-3157	utig4-3157+	HG00706	240	match	2756
HG00706	unassigned-0000961	HG00706_unassigned-0000961	UNPLACED	na_unused_utig4-3210	utig4-3210+	HG00706	241	match	3643
HG00706	unassigned-0000962	HG00706_unassigned-0000962	UNPLACED	na_unused_utig4-3211	utig4-3211+	HG00706	242	match	3504
HG00706	unassigned-0001016	HG00706_unassigned-0001016	UNPLACED	na_unused_utig4-3279	utig4-3279+	HG00706	243	match	853
HG00706	unassigned-0001023	HG00706_unassigned-0001023	UNPLACED	na_unused_utig4-3312	utig4-3312+	HG00706	244	match	2768
HG00738	pat-0000564	HG00738_pat-0000564	SCAFFOLD	pat_from_utig4-547	utig4-548-,utig4-545-,[N5000N:ambig_path],utig4-547+	HG00738	245	match	3281
HG00738	pat-0000713	HG00738_pat-0000713	UNPLACED	pat_unused_utig4-546	utig4-546+	HG00738	246	match	317
HG01074	haplotype1-0000019	HG01074_haplotype1-0000019	SCAFFOLD	haplotype1_from_utig4-702	utig4-702+	HG01074	247	match	1695
HG01099	haplotype1-0000013	HG01099_haplotype1-0000013	UNPLACED_Cmpnt	haplotype1_from_utig4-2308	utig4-2308+	HG01099	248	match	2604
HG01099	haplotype1-0000025	HG01099_haplotype1-0000025	SCAFFOLD	haplotype1_from_utig4-947	utig4-947+,utig4-1752+,utig4-1753+,utig4-2410-,[N5000N:ambig_path],utig4-443+	HG01099	249	match	2323
HG01099	haplotype2-0000107	HG01099_haplotype2-0000107	UNPLACED	haplotype2_unused_utig4-2411	utig4-2411+	HG01099	250	match	3256
HG01099	haplotype2-0000112	HG01099_haplotype2-0000112	UNPLACED	haplotype2_unused_utig4-444	utig4-444+	HG01099	251	match	375
HG01099	haplotype2-0000113	HG01099_haplotype2-0000113	UNPLACED	haplotype2_unused_utig4-445	utig4-445+	HG01099	252	match	566
HG01106	mat-0000007	HG01106_mat-0000007	UNPLACED_Cmpnt	mat_from_utig4-1324	utig4-1324+	HG01106	253	no-match	-1
HG01106	pat-0000759	HG01106_pat-0000759	SCAFFOLD	pat_from_utig4-1062	utig4-1062-,utig4-1061+,[N1000N:ambig_bubble],utig4-1066+,utig4-1067+	HG01106	254	match	2186
HG01106	pat-0000797	HG01106_pat-0000797	UNPLACED	pat_unused_utig4-1063	utig4-1063+	HG01106	255	match	2886
HG01106	pat-0000798	HG01106_pat-0000798	UNPLACED	pat_unused_utig4-1064	utig4-1064+	HG01106	256	match	231
HG01106	pat-0000799	HG01106_pat-0000799	UNPLACED	pat_unused_utig4-1065	utig4-1065+	HG01106	257	match	3399
HG01109	unassigned-0000931	HG01109_unassigned-0000931	UNPLACED	na_unused_utig4-910	utig4-910+	HG01109	258	no-match	-1
HG01109	unassigned-0000932	HG01109_unassigned-0000932	UNPLACED	na_unused_utig4-911	utig4-911+	HG01109	259	no-match	-1
HG01109	unassigned-0000933	HG01109_unassigned-0000933	UNPLACED	na_unused_utig4-912	utig4-912+	HG01109	260	no-match	-1
HG01109	pat-0000951	HG01109_pat-0000951	SCAFFOLD	pat_from_utig4-1312	utig4-1312+	HG01109	261	match	229
HG01109	pat-0000969	HG01109_pat-0000969	SCAFFOLD	pat_from_utig4-617	utig4-1475-,utig4-907-,utig4-615-,utig4-614-,utig4-617+,utig4-913+,utig4-914+,utig4-916+	HG01109	262	match	133
HG01109	pat-0000975	HG01109_pat-0000975	UNPLACED	pat_from_utig4-915	utig4-915+,utig4-918-	HG01109	263	match	2758
HG01109	pat-0000976	HG01109_pat-0000976	UNPLACED	pat_from_utig4-919	utig4-919+	HG01109	264	match	3743
HG01109	pat-0000977	HG01109_pat-0000977	UNPLACED	pat_from_utig4-920	utig4-920+	HG01109	265	match	1218
HG01109	pat-0001326	HG01109_pat-0001326	UNPLACED	pat_unused_utig4-921	utig4-921+	HG01109	266	match	3134
HG01167	haplotype1-0000001	HG01167_haplotype1-0000001	SCAFFOLD	haplotype1_from_utig4-1159	utig4-1157-,utig4-1158+,utig4-1159+,utig4-781-,utig4-737-,utig4-735+,utig4-514-,utig4-515+	HG01167	267	match	1604
HG01167	haplotype1-0000014	HG01167_haplotype1-0000014	UNPLACED	haplotype1_from_utig4-521	utig4-521+,[N5000N:ambig_path],utig4-736-,utig4-735+,utig4-522-	HG01167	268	match	2625
HG01167	haplotype2-0000160	HG01167_haplotype2-0000160	UNPLACED	haplotype2_unused_utig4-1151	utig4-1151+	HG01167	269	match	495
HG01167	unassigned-0000558	HG01167_unassigned-0000558	UNPLACED	na_unused_utig4-516	utig4-516+	HG01167	270	match	3630
HG01192	haplotype1-0000011	HG01192_haplotype1-0000011	SCAFFOLD	haplotype1_from_utig4-1601	utig4-649-,utig4-650+,utig4-1600+,utig4-1601+,utig4-2113+,utig4-2116+,utig4-2157-,utig4-2147-,utig4-2145-,utig4-2093-,utig4-2091+,utig4-2096+	HG01192	271	match	1086
HG01192	haplotype1-0000014	HG01192_haplotype1-0000014	UNPLACED	haplotype1_from_utig4-2114	utig4-2114+,utig4-2095-,utig4-2091-,utig4-2092+,utig4-2145+,utig4-2146+,utig4-2157+,utig4-2115-,utig4-2113-	HG01192	272	match	1392
HG01192	unassigned-0000352	HG01192_unassigned-0000352	UNPLACED	na_unused_utig4-2094	utig4-2094+	HG01192	273	match	3671
HG01243	haplotype1-0000012	HG01243_haplotype1-0000012	SCAFFOLD	haplotype1_from_utig4-2016	utig4-1317-,[N100000N:scaffold],utig4-479+,[N100000N:scaffold],utig4-2016-,[N5000N:ambig_path],utig4-821-,utig4-822+,utig4-3193+,utig4-3195+,utig4-3644-,[N100000N:scaffold],utig4-824-	HG01243	274	match	2472
HG01243	haplotype1-0000021	HG01243_haplotype1-0000021	SCAFFOLD	haplotype1_from_utig4-3165	utig4-3165+,utig4-3193+,utig4-3194+,utig4-3644-	HG01243	275	match	578
HG01243	haplotype1-0000051	HG01243_haplotype1-0000051	UNPLACED	haplotype1_unused_utig4-2017	utig4-2017+	HG01243	276	match	38
HG01243	haplotype1-0000052	HG01243_haplotype1-0000052	UNPLACED	haplotype1_unused_utig4-2018	utig4-2018+	HG01243	277	match	781
HG01243	haplotype1-0000071	HG01243_haplotype1-0000071	UNPLACED	haplotype1_unused_utig4-2579	utig4-2579+	HG01243	278	match	1447
HG01243	haplotype1-0000072	HG01243_haplotype1-0000072	UNPLACED	haplotype1_unused_utig4-2580	utig4-2580+	HG01243	279	match	2590
HG01243	haplotype1-0000073	HG01243_haplotype1-0000073	UNPLACED	haplotype1_unused_utig4-2581	utig4-2581+	HG01243	280	match	2367
HG01243	haplotype1-0000074	HG01243_haplotype1-0000074	UNPLACED	haplotype1_unused_utig4-2582	utig4-2582+	HG01243	281	match	1860
HG01243	haplotype1-0000075	HG01243_haplotype1-0000075	UNPLACED	haplotype1_unused_utig4-2597	utig4-2597+	HG01243	282	match	930
HG01243	haplotype1-0000175	HG01243_haplotype1-0000175	UNPLACED	haplotype1_unused_utig4-3645	utig4-3645+	HG01243	283	match	381
HG01243	haplotype1-0000188	HG01243_haplotype1-0000188	UNPLACED	haplotype1_unused_utig4-823	utig4-823+	HG01243	284	match	3165
HG01252	pat-0000532	HG01252_pat-0000532	SCAFFOLD	pat_from_utig4-825	utig4-823-,utig4-821+,utig4-825+	HG01252	285	match	1655
HG01255	haplotype1-0000016	HG01255_haplotype1-0000016	SCAFFOLD	haplotype1_from_utig4-1949	utig4-1949+,[N174097N:tangle],utig4-2120-	HG01255	286	match	1870
HG01255	haplotype2-0000119	HG01255_haplotype2-0000119	UNPLACED	haplotype2_unused_utig4-2121	utig4-2121+	HG01255	287	match	869
HG01255	haplotype2-0000120	HG01255_haplotype2-0000120	UNPLACED	haplotype2_unused_utig4-2122	utig4-2122+	HG01255	288	match	652
HG01255	haplotype2-0000121	HG01255_haplotype2-0000121	UNPLACED	haplotype2_unused_utig4-2123	utig4-2123+	HG01255	289	match	234
HG01255	haplotype2-0000140	HG01255_haplotype2-0000140	UNPLACED	haplotype2_unused_utig4-2298	utig4-2298+	HG01255	290	match	1272
HG01258	pat-0000774	HG01258_pat-0000774	SCAFFOLD	pat_from_utig4-332	utig4-332+	HG01258	291	match	2326
HG01261	haplotype1-0000012	HG01261_haplotype1-0000012	SCAFFOLD	haplotype1_from_utig4-2515	utig4-2515-,[N5000N:ambig_path],utig4-2514-,utig4-2516+,[N5000N:ambig_path],utig4-2760+,utig4-2399-,[N31093N:scaffold],utig4-2398+	HG01261	292	match	1288
HG01261	haplotype2-0000116	HG01261_haplotype2-0000116	UNPLACED	haplotype2_unused_utig4-2517	utig4-2517+	HG01261	293	match	1463
HG01261	haplotype2-0000118	HG01261_haplotype2-0000118	UNPLACED	haplotype2_unused_utig4-2761	utig4-2761+	HG01261	294	match	683
HG01358	pat-0000434	HG01358_pat-0000434	SCAFFOLD	pat_from_utig4-1077	utig4-1842+,[N5000N:ambig_path],utig4-1074+,utig4-1077+,[N5000N:ambig_path],utig4-1824+,utig4-1826+	HG01358	295	match	2803
HG01358	pat-0000464	HG01358_pat-0000464	UNPLACED	pat_unused_utig4-1075	utig4-1075+	HG01358	296	match	1877
HG01358	pat-0000465	HG01358_pat-0000465	UNPLACED	pat_unused_utig4-1076	utig4-1076+	HG01358	297	match	2065
HG01358	pat-0000621	HG01358_pat-0000621	UNPLACED	pat_unused_utig4-1825	utig4-1825+	HG01358	298	match	1370
HG01433	pat-0000498	HG01433_pat-0000498	SCAFFOLD	pat_from_utig4-1519	utig4-1520-,utig4-1519+	HG01433	299	match	961
HG01433	pat-0000511	HG01433_pat-0000511	SCAFFOLD	pat_from_utig4-2408	utig4-3051-,utig4-2408-,utig4-2406-,utig4-439-	HG01433	300	match	2350
HG01433	pat-0000515	HG01433_pat-0000515	UNPLACED	pat_from_utig4-280	utig4-278-,utig4-280+,utig4-836-	HG01433	301	match	1785
HG01433	pat-0000521	HG01433_pat-0000521	SCAFFOLD	pat_from_utig4-445	utig4-534-,utig4-530-,utig4-532+,[N19259N:alt-utig4-531],utig4-445-,utig4-443-,utig4-444+	HG01433	302	match	3441
HG01433	pat-0000525	HG01433_pat-0000525	UNPLACED	pat_from_utig4-84	utig4-83-,utig4-84+,utig4-438-,utig4-437+,[N277827N:ambig_bubble],utig4-1034-	HG01433	303	match	2049
HG01433	pat-0000526	HG01433_pat-0000526	UNPLACED	pat_from_utig4-85	utig4-85+	HG01433	304	match	3489
HG01433	pat-0000527	HG01433_pat-0000527	UNPLACED	pat_from_utig4-86	utig4-86+	HG01433	305	match	129
HG01433	pat-0000528	HG01433_pat-0000528	UNPLACED	pat_from_utig4-87	utig4-87+	HG01433	306	match	2616
HG01433	pat-0000544	HG01433_pat-0000544	UNPLACED	pat_unused_utig4-1035	utig4-1035+	HG01433	307	match	30
HG01433	pat-0000590	HG01433_pat-0000590	UNPLACED	pat_unused_utig4-2407	utig4-2407+	HG01433	308	match	3864
HG01433	pat-0000677	HG01433_pat-0000677	UNPLACED_Cmpnt	pat_unused_utig4-2596	utig4-2596+	HG01433	309	match	980
HG01433	pat-0000683	HG01433_pat-0000683	UNPLACED	pat_unused_utig4-2605	utig4-2605+	HG01433	310	match	292
HG01433	pat-0000684	HG01433_pat-0000684	UNPLACED	pat_unused_utig4-2606	utig4-2606+	HG01433	311	match	1450
HG01433	pat-0000740	HG01433_pat-0000740	UNPLACED	pat_unused_utig4-279	utig4-279+	HG01433	312	match	1231
HG01433	pat-0000742	HG01433_pat-0000742	UNPLACED	pat_unused_utig4-281	utig4-281+	HG01433	313	match	318
HG01433	pat-0000743	HG01433_pat-0000743	UNPLACED	pat_unused_utig4-282	utig4-282+	HG01433	314	match	117
HG01433	pat-0000767	HG01433_pat-0000767	UNPLACED	pat_unused_utig4-440	utig4-440+	HG01433	315	match	45
HG01433	pat-0000768	HG01433_pat-0000768	UNPLACED	pat_unused_utig4-441	utig4-441+	HG01433	316	match	1493
HG01433	pat-0000769	HG01433_pat-0000769	UNPLACED	pat_unused_utig4-442	utig4-442+	HG01433	317	match	2497
HG01433	pat-0000788	HG01433_pat-0000788	UNPLACED	pat_unused_utig4-837	utig4-837+	HG01433	318	match	1688
